# 데이터를 변경하려면:							
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에							
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.							
#     다운로드한 파일 이름을 library_video_data.tsv 으로 변경합니다.							
#     테스트할 기기의 Movies/Library에 tsv 파일과 thumbnail, 동영상파일을 복사해 넣습니다.							
#          Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다							
#id	category	categoryname	title	thumbnail	filename	lyrics	info
mv3	music_video	Nyimbo za mafunzo	Wimbo wa herufi kuu	Vowels.png	sw_vdo_vowel.mp4	Hii ndiyo ‘a’ a…\n  Ina mkia mfupi \n  a…\n  \n  Hii ndiyo ‘e’ e…\n  Ina mkia mrefu \n  e…\n  \n  Hii ndiyo ‘i’ i…\n  Ina kofia juu \n  i…\n  \n  Hii ndiyo ‘o’ o…\n  Iko kama yai \n  o…\n  \n  Hii ndiyo ‘u’ u…\n  Iko kama kikombe\n  u…\n	"Wimbo wa herufi kuu"\n \n Video produced by: Ryan Massey\n Music produced by: Brian Taylor\n Song based on traditional children's song\n
mv4	music_video	Nyimbo za mafunzo	Najua kuhesabu namba	count10.png	sw_vdo_count10.mp4	Najua kuhesabu namba\n  moja mbili tatu\n  Nne tano sita saba nane tisa kumi\n  Vidole vya mikono yangu jumla yake kumi\n  Huku tano na huku tano jumla yake kumi\n  \n  Najua kuhesabu namba\n  moja mbili tatu\n  Nne tano sita saba nane tisa kumi\n  Vidole vya mikono yangu jumla yake kumi\n  Huku tano na huku tano jumla yake kumi\n  \n  1, 2, 3, 4, 5, 6, \n  7, 8, 9, 10 !\n  \n  1, 2, 3, 4, 5, 6, \n  7, 8, 9, 10 !\n	"Najua kuhesabu namba"\n \n Video produced by: Ryan Massey\n Music produced by: Brian Taylor\n Song based on traditional children's song\n
mv5	music_video	Nyimbo za mafunzo	Wimbo wa Herufi	abc.png	sw_vdo_abc.mp4	Tunasoma herufi\n  Tunasoma herufi\n  Aa Bb Ch ch Dd Ee Ff Gg\n  Hh Ii Jj Kk Ll Mm Nn\n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Oo Pp Rr Ss Tt Uu\n  Vv Ww Yy Zz \n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Aa Bb Ch ch Dd Ee Ff Gg\n  Hh Ii Jj Kk Ll Mm Nn\n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Oo Pp Rr Ss Tt Uu\n  Vv Ww Yy Zz\n	"Wimbo wa herufi kuu"\n  \n  Video produced by: Ryan Massey\n  Music produced by: Brian Taylor\n  Song based on traditional children's song\n
mv6	music_video	Nyimbo za mafunzo	Nyosha Vidole Vitano!	ubcount5.png	sw_vdo_ub_count5.mp4	Nyosha Vidole Vitano!	"Nyosha Vidole Vitano!" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv7	music_video	Nyimbo za mafunzo	Hesabu Vidole Kumi	ubcount10.png	sw_vdo_ub_count10.mp4	Hesabu Vidole Kumi	"Hesabu Vidole Kumi" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv8	music_video	Nyimbo za mafunzo	Hesabu na Mamba!	ubcroc10.png	sw_vdo_ub_croc10.mp4a	Hesabu na Mamba!	"Hesabu na Mamba!" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv9	music_video	Nyimbo za mafunzo	Treni ya Namba	ubtrain10.png	sw_vdo_ub_train10.mp4a	Treni ya Namba	"Treni ya Namba" \n \nProduced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv10	music_video	Nyimbo za mafunzo	Moja mpaka ishirini!	ubtruck20.png	sw_vdo_ub_truck20.mp4	Moja mpaka ishirini!	"Moja mpaka ishirini! " \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
vdo1	video	Video za mafunzo	Ndege ya maumbo	airshapes.png	sw_vdo_airshapes.mp4	Ndege ya maumbo	"Ndege ya maumbo" \n \n Video produced by: Ryan Massey \n Music by: David John Franco
vdo2	video	Video za mafunzo	Nusuduara	semicircles.png	sw_vdo_semicircle.mp4	Nusuduara	" Nusuduara" \n \n Video produced by: Ryan Massey \n Music by: David John Franco
vdo3	video	Video za mafunzo	Ndege yuko wapi?	bird.png	sw_vdo_311_t.mp4	Ndege yuko wapi?	"Ndege yuko wapi?" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo4	video	Video za mafunzo	Sura	face.png	sw_vdo_108_t.mp4	Sura	"Sura" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo5	video	Video za mafunzo	Mwili	body.png	sw_vdo_107_t.mp4	Mwili	"Mwili" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo6	video	Video za mafunzo	Kusoma pamoja: Usafiri	read.png	sw_vdo_101.mp4	Kusoma pamoga: usafiri	"Kusoma pamoga: usafiri" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
